grid_size,average_reward_per_step,average_steps,won_games
5,4.950617283950617,11.18,97
5,9.0,11.18,97
5,7.6,11.18,97
5,5.222222222222222,11.18,97
5,4.5,11.18,97
5,3.0495867768595044,11.18,97
5,4.591836734693877,11.18,97
5,4.506172839506173,11.18,97
5,6.3061224489795915,11.18,97
5,2.680555555555556,11.18,97
5,4.591836734693877,11.18,97
5,9.0,11.18,97
5,3.5,11.18,97
5,3.5138888888888893,11.18,97
5,2.930555555555556,11.18,97
5,5.163265306122448,11.18,97
5,4.1,11.18,97
5,3.231404958677686,11.18,97
5,9.0,11.18,97
5,2.7,11.18,97
5,5.7346938775510194,11.18,97
5,5.163265306122448,11.18,97
5,2.930555555555556,11.18,97
5,5.388888888888889,11.18,97
5,-0.48,11.18,97
5,1.326530612244898,11.18,97
5,3.283950617283951,11.18,97
5,3.4,11.18,97
5,11.625,11.18,97
5,2.4132231404958677,11.18,97
5,5.53125,11.18,97
5,3.2,11.18,97
5,5.15625,11.18,97
5,5.877551020408163,11.18,97
5,9.0,11.18,97
5,5.163265306122448,11.18,97
5,9.0,11.18,97
5,2.5,11.18,97
5,3.7,11.18,97
5,8.0,11.18,97
5,4.78125,11.18,97
5,4.1,11.18,97
5,3.1404958677685952,11.18,97
5,1.6804733727810652,11.18,97
5,4.2,11.18,97
5,2.322314049586777,11.18,97
5,5.15625,11.18,97
5,5.15625,11.18,97
5,28.5,11.18,97
5,1.075,11.18,97
5,11.625,11.18,97
5,3.4,11.18,97
5,3.9,11.18,97
5,4.950617283950617,11.18,97
5,4.78125,11.18,97
5,7.388888888888889,11.18,97
5,4.506172839506173,11.18,97
5,2.3472222222222223,11.18,97
5,4.061728395061729,11.18,97
5,2.958677685950413,11.18,97
5,2.3727810650887573,11.18,97
5,3.322314049586777,11.18,97
5,3.2,11.18,97
5,3.5138888888888893,11.18,97
5,6.3061224489795915,11.18,97
5,6.3061224489795915,11.18,97
5,7.388888888888889,11.18,97
5,6.722222222222222,11.18,97
5,11.625,11.18,97
5,10.375,11.18,97
5,7.388888888888889,11.18,97
5,3.2638888888888893,11.18,97
5,-2.86,11.18,97
5,5.53125,11.18,97
5,3.40625,11.18,97
5,11.625,11.18,97
5,2.2189349112426036,11.18,97
5,5.448979591836734,11.18,97
5,9.0,11.18,97
5,5.163265306122448,11.18,97
5,5.877551020408163,11.18,97
5,3.1404958677685952,11.18,97
5,9.0,11.18,97
5,6.888888888888889,11.18,97
5,1.9112426035502958,11.18,97
5,9.0,11.18,97
5,1.6804733727810652,11.18,97
5,3.1404958677685952,11.18,97
5,5.53125,11.18,97
5,3.617283950617284,11.18,97
5,-0.5,11.18,97
5,3.4132231404958677,11.18,97
5,4.617283950617284,11.18,97
5,5.7346938775510194,11.18,97
5,4.1,11.18,97
5,5.7346938775510194,11.18,97
5,76.0,11.18,97
5,11.625,11.18,97
5,2.683673469387755,11.18,97
5,16.555555555555557,11.18,97
6,1.8222222222222222,20.65,91
6,5.591836734693877,20.65,91
6,2.326530612244898,20.65,91
6,1.8979591836734695,20.65,91
6,-2.46,20.65,91
6,3.5138888888888893,20.65,91
6,5.53125,20.65,91
6,2.9555555555555553,20.65,91
6,3.1420118343195265,20.65,91
6,11.625,20.65,91
6,3.1404958677685952,20.65,91
6,5.03125,20.65,91
6,3.8,20.65,91
6,0.4,20.65,91
6,-0.48,20.65,91
6,2.022222222222222,20.65,91
6,-0.31,20.65,91
6,4.140495867768595,20.65,91
6,3.8,20.65,91
6,3.2958579881656807,20.65,91
6,1.5408163265306123,20.65,91
6,-2.75,20.65,91
6,1.8888888888888888,20.65,91
6,-0.43,20.65,91
6,3.65625,20.65,91
6,3.7768595041322315,20.65,91
6,1.2654320987654322,20.65,91
6,1.467128027681661,20.65,91
6,3.8,20.65,91
6,3.222222222222222,20.65,91
6,1.175,20.65,91
6,1.9881656804733727,20.65,91
6,2.1555555555555554,20.65,91
6,0.8336483931947071,20.65,91
6,0.45857988165680474,20.65,91
6,5.53125,20.65,91
6,2.6888888888888887,20.65,91
6,1.175,20.65,91
6,6.722222222222222,20.65,91
6,-0.54,20.65,91
6,-0.43,20.65,91
6,5.53125,20.65,91
6,3.3472222222222228,20.65,91
6,3.504132231404959,20.65,91
6,2.3727810650887573,20.65,91
6,2.911242603550296,20.65,91
6,1.5703125,20.65,91
6,3.506172839506173,20.65,91
6,2.683673469387755,20.65,91
6,2.6122448979591835,20.65,91
6,5.03125,20.65,91
6,2.397959183673469,20.65,91
6,0.048828125,20.65,91
6,2.290657439446367,20.65,91
6,4.506172839506173,20.65,91
6,1.6,20.65,91
6,5.53125,20.65,91
6,7.388888888888889,20.65,91
6,3.180555555555556,20.65,91
6,3.1,20.65,91
6,1.7551020408163267,20.65,91
6,2.930555555555556,20.65,91
6,1.8979591836734695,20.65,91
6,2.0408163265306123,20.65,91
6,26.0,20.65,91
6,1.0181405895691609,20.65,91
6,5.53125,20.65,91
6,1.5703125,20.65,91
6,1.9453125,20.65,91
6,5.877551020408163,20.65,91
6,4.172839506172839,20.65,91
6,2.761245674740484,20.65,91
6,-0.4,20.65,91
6,4.28125,20.65,91
6,2.6122448979591835,20.65,91
6,1.6122448979591837,20.65,91
6,-0.54,20.65,91
6,16.555555555555557,20.65,91
6,5.03125,20.65,91
6,3.283950617283951,20.65,91
6,3.8677685950413223,20.65,91
6,2.5972222222222223,20.65,91
6,2.4693877551020407,20.65,91
6,2.958677685950413,20.65,91
6,5.53125,20.65,91
6,0.08680555555555551,20.65,91
6,0.6241426611796982,20.65,91
6,3.322314049586777,20.65,91
6,4.78125,20.65,91
6,6.3061224489795915,20.65,91
6,4.283950617283951,20.65,91
6,2.3203125,20.65,91
6,5.163265306122448,20.65,91
6,7.388888888888889,20.65,91
6,1.1141868512110726,20.65,91
