grid_size,average_reward_per_step,average_steps,won_games
5,6.4,6.57,100
5,2.7346938775510203,6.57,100
5,4.448979591836735,6.57,100
5,5.888888888888889,6.57,100
5,2.180555555555556,6.57,100
5,7.4,6.57,100
5,3.90625,6.57,100
5,3.03125,6.57,100
5,26.0,6.57,100
5,4.90625,6.57,100
5,71.0,6.57,100
5,4.448979591836735,6.57,100
5,6.555555555555556,6.57,100
5,3.506172839506173,6.57,100
5,13.555555555555557,6.57,100
5,4.591836734693877,6.57,100
5,6.6,6.57,100
5,10.375,6.57,100
5,3.65625,6.57,100
5,14.888888888888891,6.57,100
5,1.4497041420118344,6.57,100
5,76.0,6.57,100
5,76.0,6.57,100
5,2.5972222222222223,6.57,100
5,8.0,6.57,100
5,4.591836734693877,6.57,100
5,8.375,6.57,100
5,4.53125,6.57,100
5,76.0,6.57,100
5,3.506172839506173,6.57,100
5,3.283950617283951,6.57,100
5,4.15625,6.57,100
5,3.53125,6.57,100
5,8.0,6.57,100
5,4.591836734693877,6.57,100
5,3.4489795918367347,6.57,100
5,71.0,6.57,100
5,1.2888888888888888,6.57,100
5,71.0,6.57,100
5,0.9112426035502958,6.57,100
5,7.2,6.57,100
5,2.013888888888889,6.57,100
5,5.222222222222222,6.57,100
5,4.448979591836735,6.57,100
5,3.0,6.57,100
5,3.40625,6.57,100
5,2.9506172839506175,6.57,100
5,10.375,6.57,100
5,3.78125,6.57,100
5,14.888888888888891,6.57,100
5,5.163265306122448,6.57,100
5,6.555555555555556,6.57,100
5,7.2,6.57,100
5,1.6859504132231407,6.57,100
5,5.4,6.57,100
5,7.2,6.57,100
5,4.388888888888889,6.57,100
5,3.65625,6.57,100
5,3.877551020408163,6.57,100
5,10.375,6.57,100
5,1.3828125,6.57,100
5,4.591836734693877,6.57,100
5,76.0,6.57,100
5,3.306122448979592,6.57,100
5,26.0,6.57,100
5,14.888888888888891,6.57,100
5,3.65625,6.57,100
5,26.0,6.57,100
5,5.591836734693877,6.57,100
5,4.591836734693877,6.57,100
5,2.013888888888889,6.57,100
5,4.90625,6.57,100
5,2.617283950617284,6.57,100
5,3.6,6.57,100
5,3.0495867768595044,6.57,100
5,7.4,6.57,100
5,5.888888888888889,6.57,100
5,5.163265306122448,6.57,100
5,6.555555555555556,6.57,100
5,5.388888888888889,6.57,100
5,3.617283950617284,6.57,100
5,4.40625,6.57,100
5,10.375,6.57,100
5,76.0,6.57,100
5,1.2551020408163267,6.57,100
5,1.5950413223140496,6.57,100
5,2.15625,6.57,100
5,5.591836734693877,6.57,100
5,4.15625,6.57,100
5,2.958677685950413,6.57,100
5,4.722222222222222,6.57,100
5,14.888888888888891,6.57,100
5,3.877551020408163,6.57,100
5,26.0,6.57,100
5,6.2,6.57,100
5,14.888888888888891,6.57,100
5,14.888888888888891,6.57,100
5,7.2,6.57,100
5,3.3950617283950617,6.57,100
5,62.0,6.57,100
6,8.0,12.26,98
6,5.6,12.26,98
6,1.4497041420118344,12.26,98
6,3.877551020408163,12.26,98
6,1.9586776859504134,12.26,98
6,2.728395061728395,12.26,98
6,2.1555555555555554,12.26,98
6,1.6805555555555556,12.26,98
6,8.0,12.26,98
6,2.1420118343195265,12.26,98
6,0.12847222222222218,12.26,98
6,0.4671280276816609,12.26,98
6,3.90625,12.26,98
6,3.17283950617284,12.26,98
6,2.513888888888889,12.26,98
6,2.617283950617284,12.26,98
6,1.9555555555555555,12.26,98
6,3.4489795918367343,12.26,98
6,9.625,12.26,98
6,3.2,12.26,98
6,0.9279778393351801,12.26,98
6,3.53125,12.26,98
6,1.0888888888888888,12.26,98
6,2.180555555555556,12.26,98
6,2.728395061728395,12.26,98
6,3.0617283950617287,12.26,98
6,26.0,12.26,98
6,2.1404958677685952,12.26,98
6,1.9881656804733727,12.26,98
6,5.388888888888889,12.26,98
6,3.78125,12.26,98
6,14.888888888888891,12.26,98
6,1.513888888888889,12.26,98
6,0.875,12.26,98
6,5.888888888888889,12.26,98
6,-2.67,12.26,98
6,1.9881656804733727,12.26,98
6,2.1404958677685952,12.26,98
6,0.3494809688581315,12.26,98
6,3.3950617283950617,12.26,98
6,2.326530612244898,12.26,98
6,1.3494809688581315,12.26,98
6,3.53125,12.26,98
6,4.40625,12.26,98
6,1.8222222222222222,12.26,98
6,4.055555555555556,12.26,98
6,3.0,12.26,98
6,14.888888888888891,12.26,98
6,26.0,12.26,98
6,3.53125,12.26,98
6,0.12847222222222218,12.26,98
6,4.90625,12.26,98
6,0.8203125,12.26,98
6,3.65625,12.26,98
6,2.930555555555556,12.26,98
6,3.1,12.26,98
6,7.2,12.26,98
6,2.7,12.26,98
6,1.1122448979591837,12.26,98
6,4.90625,12.26,98
6,0.8265306122448981,12.26,98
6,2.728395061728395,12.26,98
6,3.9506172839506175,12.26,98
6,3.40625,12.26,98
6,0.654320987654321,12.26,98
6,2.180555555555556,12.26,98
6,5.163265306122448,12.26,98
6,4.061728395061729,12.26,98
6,2.8,12.26,98
6,26.0,12.26,98
6,6.555555555555556,12.26,98
6,3.17283950617284,12.26,98
6,3.65625,12.26,98
6,2.263888888888889,12.26,98
6,2.4132231404958677,12.26,98
6,3.03125,12.26,98
6,3.03125,12.26,98
6,1.9881656804733727,12.26,98
6,-2.83,12.26,98
6,1.763888888888889,12.26,98
6,76.0,12.26,98
6,1.2551020408163267,12.26,98
6,4.53125,12.26,98
6,1.0332409972299168,12.26,98
6,1.467128027681661,12.26,98
6,3.53125,12.26,98
6,1.3979591836734695,12.26,98
6,2.7768595041322315,12.26,98
6,3.6,12.26,98
6,2.5408163265306123,12.26,98
6,1.6836734693877553,12.26,98
6,2.3472222222222223,12.26,98
6,0.9881656804733728,12.26,98
6,14.888888888888891,12.26,98
6,1.8677685950413225,12.26,98
6,1.0987654320987654,12.26,98
6,3.17283950617284,12.26,98
6,1.826530612244898,12.26,98
6,3.283950617283951,12.26,98
6,11.888888888888891,12.26,98
7,3.283950617283951,26.46,88
7,1.826530612244898,26.46,88
7,1.8472222222222223,26.46,88
7,4.591836734693877,26.46,88
7,-2.66,26.46,88
7,0.17746913580246915,26.46,88
7,-0.57,26.46,88
7,1.7,26.46,88
7,0.8784722222222222,26.46,88
7,1.5972222222222223,26.46,88
7,1.2906574394463668,26.46,88
7,-0.32986111111111116,26.46,88
7,-0.04499540863177225,26.46,88
7,2.6859504132231407,26.46,88
7,0.6284722222222222,26.46,88
7,3.8888888888888893,26.46,88
7,-2.85,26.46,88
7,1.9377162629757783,26.46,88
7,1.025,26.46,88
7,-2.8,26.46,88
7,0.5987654320987654,26.46,88
7,1.4083044982698962,26.46,88
7,1.6953125,26.46,88
7,-2.82,26.46,88
7,1.432098765432099,26.46,88
7,1.3209876543209877,26.46,88
7,7.4,26.46,88
7,7.4,26.46,88
7,0.29513888888888884,26.46,88
7,-2.97,26.46,88
7,0.3047337278106509,26.46,88
7,2.4888888888888885,26.46,88
7,0.9965397923875433,26.46,88
7,4.055555555555556,26.46,88
7,6.555555555555556,26.46,88
