grid_size,average_reward_per_step,average_steps,won_games
5,5.222222222222222,8.81,98
5,8.0,8.81,98
5,5.388888888888889,8.81,98
5,10.375,8.81,98
5,4.061728395061729,8.81,98
5,5.388888888888889,8.81,98
5,4.03125,8.81,98
5,2.013888888888889,8.81,98
5,5.591836734693877,8.81,98
5,26.0,8.81,98
5,5.888888888888889,8.81,98
5,4.03125,8.81,98
5,1.834319526627219,8.81,98
5,9.125,8.81,98
5,5.888888888888889,8.81,98
5,5.020408163265306,8.81,98
5,10.375,8.81,98
5,8.0,8.81,98
5,3.7222222222222228,8.81,98
5,-2.87,8.81,98
5,8.0,8.81,98
5,2.4497041420118344,8.81,98
5,7.4,8.81,98
5,4.03125,8.81,98
5,13.888888888888891,8.81,98
5,4.03125,8.81,98
5,3.65625,8.81,98
5,2.958677685950413,8.81,98
5,14.888888888888891,8.81,98
5,0.24376731301939059,8.81,98
5,4.7346938775510194,8.81,98
5,3.73469387755102,8.81,98
5,8.0,8.81,98
5,2.617283950617284,8.81,98
5,5.222222222222222,8.81,98
5,4.3061224489795915,8.81,98
5,6.6,8.81,98
5,-2.87,8.81,98
5,1.9555555555555555,8.81,98
5,9.625,8.81,98
5,4.448979591836735,8.81,98
5,6.555555555555556,8.81,98
5,26.0,8.81,98
5,8.0,8.81,98
5,2.8395061728395063,8.81,98
5,10.375,8.81,98
5,5.163265306122448,8.81,98
5,4.591836734693877,8.81,98
5,3.28125,8.81,98
5,6.555555555555556,8.81,98
5,0.4453125,8.81,98
5,5.591836734693877,8.81,98
5,71.0,8.81,98
5,14.888888888888891,8.81,98
5,4.40625,8.81,98
5,5.888888888888889,8.81,98
5,2.17283950617284,8.81,98
5,4.591836734693877,8.81,98
5,1.617283950617284,8.81,98
5,2.0495867768595044,8.81,98
5,4.6,8.81,98
5,3.03125,8.81,98
5,1.2888888888888888,8.81,98
5,3.617283950617284,8.81,98
5,76.0,8.81,98
5,5.020408163265306,8.81,98
5,2.9,8.81,98
5,4.020408163265306,8.81,98
5,13.555555555555557,8.81,98
5,5.888888888888889,8.81,98
5,3.506172839506173,8.81,98
5,76.0,8.81,98
5,3.9506172839506175,8.81,98
5,76.0,8.81,98
5,6.4,8.81,98
5,14.888888888888891,8.81,98
5,10.375,8.81,98
5,5.020408163265306,8.81,98
5,3.506172839506173,8.81,98
5,2.617283950617284,8.81,98
5,3.506172839506173,8.81,98
5,4.591836734693877,8.81,98
5,0.6328125,8.81,98
5,2.8395061728395063,8.81,98
5,76.0,8.81,98
5,3.28125,8.81,98
5,5.888888888888889,8.81,98
5,5.020408163265306,8.81,98
5,6.555555555555556,8.81,98
5,4.53125,8.81,98
5,76.0,8.81,98
5,4.3061224489795915,8.81,98
5,7.4,8.81,98
5,5.888888888888889,8.81,98
5,6.555555555555556,8.81,98
5,2.617283950617284,8.81,98
5,10.375,8.81,98
5,1.763888888888889,8.81,98
5,3.17283950617284,8.81,98
5,4.163265306122449,8.81,98
6,7.2,11.1,99
6,3.9506172839506175,11.1,99
6,1.763888888888889,11.1,99
6,2.7638888888888893,11.1,99
6,5.388888888888889,11.1,99
6,3.0,11.1,99
6,3.7,11.1,99
6,5.591836734693877,11.1,99
6,1.0078125,11.1,99
6,6.555555555555556,11.1,99
6,1.5266272189349113,11.1,99
6,5.591836734693877,11.1,99
6,2.504132231404959,11.1,99
6,1.467128027681661,11.1,99
6,4.03125,11.1,99
6,2.4,11.1,99
6,71.0,11.1,99
6,2.7768595041322315,11.1,99
6,76.0,11.1,99
6,9.125,11.1,99
6,1.6859504132231407,11.1,99
6,3.1404958677685952,11.1,99
6,1.0222222222222221,11.1,99
6,8.0,11.1,99
6,10.375,11.1,99
6,0.6953125,11.1,99
6,10.375,11.1,99
6,3.4489795918367347,11.1,99
6,5.591836734693877,11.1,99
6,10.375,11.1,99
6,-0.56,11.1,99
6,1.834319526627219,11.1,99
6,2.8472222222222228,11.1,99
6,2.8,11.1,99
6,2.5408163265306123,11.1,99
6,1.9881656804733727,11.1,99
6,2.5,11.1,99
6,1.3490304709141274,11.1,99
6,1.1555555555555554,11.1,99
6,1.5972222222222223,11.1,99
6,1.1836734693877553,11.1,99
6,1.9112426035502958,11.1,99
6,4.020408163265306,11.1,99
6,6.555555555555556,11.1,99
6,2.6859504132231407,11.1,99
6,2.6859504132231407,11.1,99
6,-0.029478458049886684,11.1,99
6,3.17283950617284,11.1,99
6,1.826530612244898,11.1,99
6,4.90625,11.1,99
6,0.7551020408163266,11.1,99
6,3.0,11.1,99
6,3.65625,11.1,99
6,2.7,11.1,99
6,3.2,11.1,99
6,1.322314049586777,11.1,99
6,3.728395061728395,11.1,99
6,71.0,11.1,99
6,2.6859504132231407,11.1,99
6,1.5408163265306123,11.1,99
6,0.9618055555555555,11.1,99
6,1.834319526627219,11.1,99
6,3.0617283950617287,11.1,99
6,2.2189349112426036,11.1,99
6,5.888888888888889,11.1,99
6,2.504132231404959,11.1,99
6,2.504132231404959,11.1,99
6,3.506172839506173,11.1,99
6,1.5972222222222223,11.1,99
6,0.925,11.1,99
6,14.888888888888891,11.1,99
6,0.14876033057851243,11.1,99
6,14.888888888888891,11.1,99
6,2.3950617283950617,11.1,99
6,1.6805555555555556,11.1,99
6,4.90625,11.1,99
